,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Djambala,21,CG,1559778080,70,-2.55,14.76,72.05,5.28
1,Rikitea,100,PF,1559778081,84,-23.12,-134.97,76.91,13.04
2,Wattegama,98,LK,1559778082,86,7.35,80.68,73.49,2.98
3,Sao Felix do Xingu,17,BR,1559778083,78,-6.64,-51.99,73.67,3.33
4,Atuona,26,PF,1559778084,76,-9.8,-139.03,82.49,18.68
5,Esperance,20,TT,1559778085,74,10.24,-61.45,82.4,9.17
6,Leninskoye,0,RU,1559778087,72,54.82,82.85,59.0,6.71
7,Vao,0,EE,1559778088,82,59.1,26.19,63.41,4.32
8,Hermanus,54,ZA,1559778089,99,-34.42,19.24,52.0,5.01
9,Haizhou,100,CN,1559778090,91,34.58,119.13,73.31,19.64
10,Husavik,100,CA,1559778091,24,50.56,-96.99,71.01,7.11
11,Chokurdakh,0,RU,1559778092,42,70.62,147.9,42.17,6.08
12,Pisco,75,PE,1559778094,30,-13.71,-76.2,71.6,11.41
13,Cape Town,40,ZA,1559778083,87,-33.93,18.42,55.0,3.36
14,Souillac,75,FR,1559778096,100,45.6,-0.6,54.0,1.12
15,Santa Vitoria,89,BR,1559778097,68,-7.82,-67.03,79.61,1.86
16,Bethel,40,US,1559778099,62,60.79,-161.76,57.2,10.29
17,Troitsko-Pechorsk,70,RU,1559778100,86,62.71,56.19,48.11,3.06
18,Hobart,75,AU,1559777960,62,-42.88,147.33,57.99,6.62
19,Matamoros,20,US,1559778102,88,25.87,-97.51,87.8,11.41
20,Honningsvag,19,NO,1559778103,79,70.98,25.97,41.99,5.64
21,Kodiak,40,US,1559778105,13,39.95,-94.76,89.6,5.82
22,Arraial do Cabo,96,BR,1559778106,66,-22.97,-42.02,71.51,7.96
23,Cabo San Lucas,5,MX,1559777838,60,22.89,-109.91,84.99,16.11
24,Aguimes,75,ES,1559778108,73,27.91,-15.45,70.0,20.8
25,Ushuaia,0,AR,1559778109,75,-54.81,-68.31,41.0,8.39
26,Butaritari,46,KI,1559778110,79,3.07,172.79,85.19,16.24
27,Lagoa,0,PT,1559778112,59,37.14,-8.45,61.0,11.41
28,Zambezi,6,ZM,1559778113,58,-13.55,23.12,54.59,5.26
29,Punta Arenas,0,CL,1559778114,75,-53.16,-70.91,41.0,11.41
30,Port Lincoln,0,AU,1559778115,62,-34.72,135.86,55.31,6.85
31,Iqaluit,90,CA,1559778116,70,63.75,-68.52,42.8,8.05
32,Upernavik,100,GL,1559778117,73,72.79,-56.15,40.91,2.33
33,Akureyri,75,IS,1559778118,89,65.68,-18.09,37.4,11.41
34,Jamestown,0,AU,1559778120,67,-33.21,138.6,48.47,4.52
35,Busselton,100,AU,1559778121,16,-33.64,115.35,66.0,37.92
36,Mandurah,100,AU,1559778122,18,-32.55,115.7,66.0,24.16
37,Hilo,90,US,1559778123,88,19.71,-155.08,78.01,5.82
38,Dingle,92,PH,1559778124,62,11.0,122.67,85.01,10.16
39,Ugoofaaru,100,MV,1559778126,75,5.67,73.0,84.47,17.9
40,Junin,0,PE,1559778127,23,-16.45,-71.58,60.8,4.7
41,Saint George,40,GR,1559778128,100,39.45,22.34,62.6,3.76
42,Hapao,66,PH,1559778129,74,16.88,121.02,70.25,3.13
43,Albany,90,US,1559778120,73,42.65,-73.75,75.2,4.7
44,Havoysund,0,NO,1559778131,81,71.0,24.66,46.4,9.17
45,Lebu,20,ET,1559778132,72,8.96,38.73,59.0,4.7
46,Vaini,92,IN,1559778134,87,15.34,74.49,80.33,1.68
47,Chingirlau,19,KZ,1559778135,92,51.09,54.08,57.11,8.1
48,Chuy,96,UY,1559777919,72,-33.69,-53.46,64.49,18.12
49,Barrow,100,AR,1559778137,87,-38.31,-60.23,55.31,8.1
50,Carnarvon,41,ZA,1559778138,70,-30.97,22.13,41.63,8.25
51,Dikson,0,RU,1559778139,91,73.51,80.55,31.19,2.44
52,Mataura,87,NZ,1559778140,83,-46.19,168.86,41.0,9.91
53,Castlegar,94,CA,1559778142,77,49.32,-117.66,52.61,6.02
54,Maxixe,0,MZ,1559778143,86,-23.86,35.35,61.43,6.6
55,Mersing,100,MY,1559778144,96,2.43,103.84,74.93,1.1
56,Kruisfontein,66,ZA,1559778145,86,-34.0,24.73,51.53,13.47
57,Zhangye,23,CN,1559778146,27,38.94,100.46,67.01,2.93
58,Axim,100,GH,1559778147,84,4.87,-2.24,79.25,9.42
59,Khatanga,27,RU,1559778148,54,71.98,102.47,53.15,4.72
60,Santa Maria,16,BR,1559778151,88,-29.69,-53.81,56.03,5.39
61,Nabire,100,ID,1559778152,85,-3.36,135.5,78.35,0.6
62,Airai,87,TL,1559778153,59,-8.93,125.41,77.81,8.75
63,Shingu,0,JP,1559778154,78,33.72,135.99,75.2,6.93
64,Orimattila,0,FI,1559778155,93,60.8,25.73,60.8,3.36
65,Narsaq,100,GL,1559778156,54,60.91,-46.05,44.6,4.7
66,Port Elizabeth,20,US,1559778158,83,39.31,-74.98,80.6,6.93
67,Kapaa,40,US,1559778159,69,22.08,-159.32,82.4,14.99
68,Svirstroy,98,RU,1559778160,86,60.8,33.72,58.73,1.99
69,Ancud,90,CL,1559778161,100,-41.87,-73.83,48.2,16.11
70,Norman Wells,75,CA,1559778162,66,65.28,-126.83,48.2,8.05
71,Nikolskoye,0,RU,1559778163,72,59.7,30.79,62.6,1.01
72,Basco,1,US,1559778164,78,40.33,-91.2,80.01,6.93
73,Provideniya,75,RU,1559778166,81,64.42,-173.23,42.8,11.18
74,Beringovskiy,96,RU,1559778167,61,63.05,179.32,53.51,8.23
75,Longyearbyen,90,NO,1559778168,74,78.22,15.63,35.6,14.99
76,Sorland,100,NO,1559778169,85,67.67,12.69,49.73,13.71
77,Sola,0,FI,1559778170,82,62.78,29.36,57.2,3.49
78,Talaya,0,RU,1559778171,81,55.79,84.89,51.8,4.47
79,Badou,97,TG,1559778173,92,7.58,0.61,73.67,4.18
80,Sakharovo,0,RU,1559778174,91,56.9,36.05,57.65,3.51
81,Cayenne,0,GF,1559778014,83,4.94,-52.33,80.6,3.36
82,Olkhovatka,1,UA,1559778176,65,48.24,38.4,61.25,9.73
83,Khani,75,GE,1559778177,94,41.96,42.96,71.6,3.36
84,Cidreira,9,BR,1559778178,77,-30.17,-50.22,64.85,14.16
85,Torbay,75,CA,1559778179,58,47.66,-52.73,55.4,16.11
86,Victoria,75,BN,1559778181,88,5.28,115.24,82.4,5.84
87,Matagami,93,NG,1559778182,96,9.67,8.4,70.79,6.71
88,Nanortalik,100,GL,1559778183,65,60.14,-45.24,40.55,22.19
89,Bozoum,98,CF,1559778184,97,6.31,16.38,67.55,5.64
90,Henties Bay,0,NA,1559778182,97,-22.12,14.28,54.0,5.01
91,Sao Filipe,0,CV,1559778186,84,14.9,-24.5,74.39,11.79
92,Diffa,83,NE,1559778187,22,13.32,12.61,97.07,8.32
93,Khoy,7,IR,1559778189,48,38.55,44.95,54.59,5.01
94,Marfino,0,RU,1559778190,67,56.07,37.56,64.99,4.07
95,Taoudenni,0,ML,1559778191,11,22.68,-3.98,97.25,7.61
96,Guerrero Negro,3,MX,1559778192,87,27.97,-114.04,64.85,13.71
